student_id,name,branch,semester,subject,marks,attendance,exam_date
1,Isha,CSE AIML,4,Maths,28,72,2026-02-06
2,Priya,BT,4,DAA,71,64,2026-01-14
3,Sonal,ELCE,5,DSA,72,86,2026-01-23
4,Rohit,CHE,4,DAA,47,72,2026-02-09
5,Rishi,CHE,6,DSA,80,87,2026-01-31
6,Isha,AE,6,OS,40,64,2026-01-28
7,Sonal,CSE AIML,1,UHV,49,88,2026-01-21
8,Isha,CSE,7,ML,93,79,2026-02-25
9,Priya,CE,4,OS,80,77,2026-01-18
10,Nisha,CSE,3,ML,83,80,2026-03-22
11,Sonal,ME,5,DL,79,88,2026-01-18
12,Kriti,AE,7,WEBT,76,81,2026-01-12
13,Sonal,CSE DS,2,CD,95,65,2026-01-23
14,Sneha,CSE DS,5,OS,98,69,2026-01-08
15,Arjun,CHE,7,UHV,61,67,2026-01-18
16,Saurabh,BT,2,DBMS,51,86,2026-02-27
17,Raghav,BT,1,WEBT,92,99,2026-01-13
18,Rishi,ELCE,2,DSA,66,88,2026-02-28
19,Rohit,BT,7,OS,26,68,2026-01-20
20,Aniket,CSE AIML,6,OS,59,68,2026-03-24
21,Yash,CSEAI,2,OS,73,81,2026-03-10
22,Aakash,EEE,3,AI,92,87,2025-12-27
23,Rishi,ECE,1,AI,53,96,2026-02-24
24,Manish,CE,2,CD,84,75,2026-02-11
25,Anushka,CSE AIML,1,UHV,51,96,2026-01-30
26,Aniket,CSE AIML,2,ML,62,89,2026-02-23
27,Anushka,ELCE,1,UHV,45,62,2026-02-19
28,Ananya,CSEAI,8,AI,30,78,2026-02-12
29,Divya,BT,6,WEBT,85,87,2026-01-19
30,Rahul,ECE,7,Maths,51,71,2026-03-23
31,Aman,BT,2,CD,28,95,2026-02-13
32,Anjali,EEE,6,DAA,39,77,2026-02-10
33,Aakash,CE,3,Maths,93,99,2026-02-21
34,Raghavendra,CSE DS,1,AI,22,85,2025-12-27
35,Raghavendra,EE,7,Maths,20,62,2026-03-17
36,Raghav,ME,4,WEBT,38,96,2026-01-19
37,Manish,CSE DS,6,DBMS,96,60,2026-03-09
38,Divya,IT,1,OS,77,81,2026-01-31
39,Karan,ELCE,3,DBMS,93,73,2026-02-22
40,Vikram,CSE AIML,5,DBMS,95,78,2026-03-01
41,Ashish,ECE,6,CD,38,74,2026-03-23
42,Aarav,ELCE,3,Maths,54,74,2026-03-21
43,Vivek,CE,6,ML,28,78,2026-03-01
44,Saurabh,CHE,6,OS,58,89,2026-01-08
45,Neha,ECE,3,OS,40,96,2026-02-08
46,Raghav,IT,3,DAA,91,80,2026-03-24
47,Siddharth,ECE,2,UHV,68,83,2026-01-08
48,Ashish,BT,5,DL,58,97,2026-03-08
49,Anushka,ECE,6,DAA,81,66,2026-02-24
50,Aakash,CE,7,Maths,43,66,2026-02-08
51,Aniket,CSE AIML,8,WEBT,35,83,2026-03-01
52,Isha,CE,6,AI,22,85,2026-02-04
53,Aakash,EE,4,WEBT,63,80,2026-03-23
54,Maya,CSE,1,DSA,78,70,2026-02-19
55,Sanya,CSEAI,3,OS,58,89,2025-12-26
56,Rishi,CSEAI,3,CD,53,63,2026-02-14
57,Divya,CSE AIML,3,UHV,83,64,2026-03-13
58,Satyam,ELCE,8,UHV,36,95,2026-02-25
59,Isha,EEE,2,Maths,84,84,2025-12-27
60,Vivek,EE,5,WEBT,54,90,2026-03-09
61,Yash,ELCE,1,DSA,50,93,2026-02-22
62,Shivani,ELCE,2,CD,58,61,2025-12-20
63,Shivani,ECE,7,OS,87,83,2025-12-31
64,Sonal,AE,1,OS,30,73,2026-03-12
65,Satyam,ELCE,1,DAA,71,77,2026-02-02
66,Aniket,BT,5,CN,95,64,2026-03-16
67,Pooja,CSE DS,5,DBMS,59,87,2026-02-18
68,Amit,CE,1,ML,55,81,2026-01-25
69,Ashish,ME,6,CN,69,98,2026-03-23
70,Saurabh,IT,6,CD,58,93,2026-01-10
71,Aman,ELCE,2,ML,46,90,2026-01-26
72,Aman,CSE,3,CN,63,73,2026-03-13
73,Pallavi,AE,7,DL,75,61,2026-01-29
74,Vikram,CSEAI,5,DSA,85,61,2026-01-23
75,Maya,CHE,3,DL,90,70,2026-03-09
76,Saurabh,CSE,8,ML,29,88,2026-02-23
77,Vivek,CHE,5,UHV,45,100,2026-01-13
78,Sneha,CHE,6,DAA,98,82,2026-02-17
79,Kriti,IT,7,ML,56,72,2026-01-29
80,Nisha,ELCE,1,ML,40,83,2026-02-28
81,Riya,CHE,4,CD,93,100,2026-01-29
82,Yash,EE,1,OS,64,62,2025-12-27
83,Riya,IT,7,DSA,68,98,2026-03-08
84,Raghav,ELCE,1,CD,27,79,2026-03-24
85,Yash,EE,8,OS,100,77,2026-01-01
86,Manish,CHE,6,OS,62,67,2026-02-26
87,Vikram,CHE,7,CN,40,90,2026-03-25
88,Shreya,CHE,8,OS,67,71,2026-01-03
89,Nisha,CE,5,Maths,25,90,2026-02-18
90,Anjali,CSEAI,1,CD,82,95,2026-02-20
91,Shivani,CHE,5,AI,95,90,2026-03-12
92,Neha,ELCE,6,Maths,56,99,2025-12-27
93,Aniket,IT,6,CD,46,89,2025-12-19
94,Maya,AE,8,CN,44,63,2026-02-19
95,Aditya,CSE,6,OS,44,79,2026-02-03
96,Raghavendra,CSE,2,DSA,59,73,2026-01-05
97,Vikram,CSE DS,8,DBMS,92,96,2025-12-19
98,Raghavendra,IT,8,WEBT,90,67,2026-03-07
99,Anjali,CSE AIML,8,Maths,87,84,2026-01-22
100,Karan,CSE AIML,7,DBMS,64,73,2026-03-16
101,Riya,ME,7,CN,75,91,2026-01-23
102,Sonal,CHE,4,UHV,66,71,2025-12-20
103,Nisha,ELCE,5,OS,53,68,2026-01-23
104,Riya,EEE,8,OS,45,86,2026-01-24
105,Kriti,ELCE,4,CN,97,85,2026-03-07
106,Shreya,IT,6,DL,35,73,2026-02-07
